City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,Luganville,VU,74.48,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
138,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
139,Marsh Harbour,BS,84.2,broken clouds,26.5412,-77.0636,Abaco Beach Resort
140,Semnan,IR,85.84,few clouds,35.5729,53.3971,Semnan Tourist Hotel
141,Kikwit,CD,82.87,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
142,Victoria,HK,86.38,scattered clouds,22.2855,114.1577,Mini Central
143,Saint-Philippe,RE,66.22,scattered clouds,-21.3585,55.7679,Le four à pain
144,Myronivka,UA,70.43,clear sky,49.6601,30.9823,Petryky Dim Myronivka
146,Puerto Ayacucho,VE,85.41,few clouds,5.6639,-67.6236,Posada Turistica Manapiare
151,Mecca,SA,90.95,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
153,Voh,NC,67.48,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
154,Aswan,EG,94.6,clear sky,24.0934,32.907,Nuba Nile
155,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
156,Port Hardy,CA,66.38,fog,50.6996,-127.4199,Airport Inn-Port Hardy
158,Saint-Augustin,CA,66.16,overcast clouds,51.226,-58.6502,
159,Rio Bananal,BR,75.99,broken clouds,-19.265,-40.3333,HOTEL SCARTON
160,Jalu,LY,89.89,clear sky,29.0331,21.5482,صاحبة الفخامة
161,Pemangkat,ID,77.85,overcast clouds,1.1667,108.9667,Ramah Kost KITA
162,Puerto Colombia,CO,91.49,few clouds,10.9878,-74.9547,Hotel El Emigrante
163,Jamestown,US,77.52,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
166,Parauna,BR,84.4,clear sky,-16.9478,-50.4486,Hotel Serras de Paraúna
167,Innisfail,AU,65.8,broken clouds,-17.5333,146.0333,Moondarra Motel
168,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
170,Bengkulu,ID,76.5,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
171,Claveria,PH,80.01,overcast clouds,18.6074,121.0832,Casa Grand Inn By The Sea
172,Paraiso,CR,79.66,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
173,Meulaboh,ID,76.44,broken clouds,4.1363,96.1285,Kost Pria
175,Grottammare,IT,78.82,clear sky,42.9888,13.8649,Hotel La Perla Preziosa
177,Buloh Kasap,MY,76.21,overcast clouds,2.5536,102.764,Teratak Ixora Segamat
178,Gat,IL,81.81,scattered clouds,31.61,34.7642,OlusHome
180,Sabha,LY,91.63,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
181,Luebo,CD,79.61,scattered clouds,-5.35,21.4167,
182,Alofi,NU,75.09,clear sky,-19.0595,-169.9187,Taloa Heights
183,Mokolo,CM,69.4,overcast clouds,10.7398,13.8019,Diwa Hôtel
184,Shimoda,JP,79.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
185,Aras,ES,77.41,clear sky,42.5617,-2.356,Jardines de Viana Spa
187,Chake Chake,TZ,73.09,clear sky,-5.2459,39.7666,Hotel Archipelago
190,Thompson,CA,66.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
194,That Phanom,TH,77.18,moderate rain,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
195,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
196,Hasaki,JP,75.6,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
198,Torbay,CA,68.29,overcast clouds,47.6666,-52.7314,Gallows Cove
