City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tambovka,RU,2022-07-27 22:36:39,50.0969,128.0489,75.76,67,94,8.46
68,Narsaq,GL,2022-07-27 22:33:01,60.9167,-46.05,53.82,83,17,4.47
69,Kavaratti,IN,2022-07-27 22:36:40,10.5669,72.642,81.12,80,100,20.96
70,Pangnirtung,CA,2022-07-27 22:36:41,66.1451,-65.7125,51.8,76,75,2.3
71,Orbetello,IT,2022-07-27 22:36:41,42.4408,11.2196,73.42,60,0,4.61
72,Maceio,BR,2022-07-27 22:34:05,-9.6658,-35.7353,74.64,83,75,2.3
73,Carbonia,IT,2022-07-27 22:36:42,39.1672,8.5222,79.02,70,0,6.64
74,Puerto Escondido,MX,2022-07-27 22:36:42,15.85,-97.0667,85.03,58,100,8.05
75,Mbanza-Ngungu,CD,2022-07-27 22:34:15,-5.25,14.8667,67.6,70,91,8.32
76,Hokitika,NZ,2022-07-27 22:36:43,-42.7167,170.9667,49.05,92,100,6.78
77,Torbay,CA,2022-07-27 22:36:43,47.6666,-52.7314,70.57,83,40,10.36
78,Karratha,AU,2022-07-27 22:36:44,-20.7377,116.8463,66.96,51,2,9.6
79,Alta Floresta,BR,2022-07-27 22:36:44,-9.8756,-56.0861,78.48,32,4,3.04
80,Vestmanna,FO,2022-07-27 22:36:45,62.1564,-7.1664,50.92,100,100,13.8
81,Cayenne,GF,2022-07-27 22:30:07,4.9333,-52.3333,78.1,1,0,0.0
82,Katsuura,JP,2022-07-27 22:33:05,35.1333,140.3,81.21,84,100,11.61
83,Chapais,CA,2022-07-27 22:32:45,49.7834,-74.8492,71.38,91,99,1.5
84,Carutapera,BR,2022-07-27 22:36:46,-1.195,-46.02,76.3,83,68,7.2
85,Ramotswa,BW,2022-07-27 22:36:46,-24.8716,25.8699,55.02,50,76,4.18
86,Mehamn,NO,2022-07-27 22:36:47,71.0357,27.8492,51.71,100,100,14.97
87,Chipinge,ZW,2022-07-27 22:36:47,-20.1883,32.6236,48.81,72,0,4.09
88,Tadine,NC,2022-07-27 22:36:48,-21.55,167.8833,72.1,70,71,12.46
89,Dikson,RU,2022-07-27 22:36:48,73.5069,80.5464,41.04,94,92,10.31
90,Los Llanos De Aridane,ES,2022-07-27 22:36:49,28.6585,-17.9182,72.12,91,75,21.85
91,East London,ZA,2022-07-27 22:32:17,-33.0153,27.9116,63.03,77,80,4.56
92,Ancud,CL,2022-07-27 22:33:09,-41.8697,-73.8203,46.56,90,28,4.56
93,Lagoa,PT,2022-07-27 22:37:50,39.05,-27.9833,72.18,82,55,10.11
94,College,US,2022-07-27 22:37:50,64.8569,-147.8028,60.1,75,75,9.22
95,Payakumbuh,ID,2022-07-27 22:37:50,-0.2202,100.6308,67.1,94,61,2.55
96,Doha,QA,2022-07-27 22:33:38,25.2867,51.5333,91.71,70,75,10.36
97,Pisco,PE,2022-07-27 22:36:54,-13.7,-76.2167,64.45,77,20,14.97
98,Fort Nelson,CA,2022-07-27 22:37:51,58.8053,-122.7002,78.39,50,20,9.22
99,Nipawin,CA,2022-07-27 22:37:52,53.3668,-104.0009,71.64,43,75,12.66
100,Georgetown,MY,2022-07-27 22:36:20,5.4112,100.3354,78.89,91,20,1.14
101,Sitka,US,2022-07-27 22:32:26,57.0531,-135.33,60.69,72,40,10.36
102,Durango,MX,2022-07-27 22:37:30,24.8333,-104.8333,68.11,66,80,7.87
103,Assiniboia,CA,2022-07-27 22:37:53,49.6334,-105.9845,76.82,23,7,14.97
104,Tevriz,RU,2022-07-27 22:37:53,57.509,72.4042,58.26,94,100,8.19
105,Hambantota,LK,2022-07-27 22:37:54,6.1241,81.1185,78.1,82,98,5.93
106,Lebu,CL,2022-07-27 22:31:14,-37.6167,-73.65,49.96,86,23,6.06
107,Caltanissetta,IT,2022-07-27 22:37:54,37.3745,14.0642,84.6,45,0,3.0
108,Hobart,AU,2022-07-27 22:30:03,-42.8794,147.3294,45.05,79,20,6.91
109,Victoria,HK,2022-07-27 22:31:09,22.2855,114.1577,85.95,83,0,5.99
110,Dhidhdhoo,MV,2022-07-27 22:37:55,6.8833,73.1,81.39,76,39,15.3
111,Hofn,IS,2022-07-27 22:37:05,64.2539,-15.2082,53.47,98,100,25.59
112,Souillac,MU,2022-07-27 22:37:56,-20.5167,57.5167,68.38,83,75,8.05
113,Sigli,ID,2022-07-27 22:37:56,5.3848,95.9609,77.85,83,100,5.17
114,Esperance,AU,2022-07-27 22:35:55,-33.8667,121.9,51.98,69,16,16.67
115,Ballina,AU,2022-07-27 22:37:57,-28.8667,153.5667,56.01,67,79,6.08
116,Busselton,AU,2022-07-27 22:31:02,-33.65,115.3333,53.29,72,9,8.61
117,Palmer,US,2022-07-27 22:37:58,42.1584,-72.3287,83.62,51,75,4.61
118,Tasiilaq,GL,2022-07-27 22:31:00,65.6145,-37.6368,44.76,94,80,7.49
119,Kaitangata,NZ,2022-07-27 22:32:29,-46.2817,169.8464,44.4,96,100,5.82
120,Kodiak,US,2022-07-27 22:37:59,57.79,-152.4072,62.11,55,0,12.66
121,Synya,RU,2022-07-27 22:37:59,65.3718,58.0387,54.9,70,100,5.57
122,Vardo,NO,2022-07-27 22:38:00,70.3705,31.1107,57.18,94,100,11.5
123,Taoudenni,ML,2022-07-27 22:38:00,22.6783,-3.9836,101.23,7,0,19.3
124,La Ronge,CA,2022-07-27 22:38:01,55.1001,-105.2842,71.85,35,75,9.22
125,Sinnamary,GF,2022-07-27 22:33:03,5.3833,-52.95,77.95,86,82,5.17
126,Petropavlovsk-Kamchatskiy,RU,2022-07-27 22:38:02,53.0452,158.6483,63.19,77,40,6.71
127,Longyearbyen,SJ,2022-07-27 22:31:02,78.2186,15.6401,44.11,89,100,7.56
128,Roald,NO,2022-07-27 22:38:02,62.5833,6.1333,53.76,93,100,3.44
129,Nouakchott,MR,2022-07-27 22:38:03,18.0858,-15.9785,82.33,83,55,22.82
130,Saskylakh,RU,2022-07-27 22:38:03,71.9167,114.0833,65.64,73,96,11.45
131,Bengkulu,ID,2022-07-27 22:31:11,-3.8004,102.2655,75.24,86,69,2.93
132,Burgeo,CA,2022-07-27 22:38:04,47.6167,-57.6152,63.19,85,13,10.25
133,Touros,BR,2022-07-27 22:38:04,-5.1989,-35.4608,75.36,81,56,13.02
134,Palani,IN,2022-07-27 22:38:05,10.4667,77.5333,75.94,85,77,1.36
135,Cidreira,BR,2022-07-27 22:38:05,-30.1811,-50.2056,60.39,85,84,7.23
136,Bima,ID,2022-07-27 22:38:06,-8.4667,118.7167,71.82,85,38,3.69
137,Estrela,BR,2022-07-27 22:38:06,-28.0611,-50.9383,55.78,92,95,1.23
138,Saint-Georges,GD,2022-07-27 22:39:07,12.0564,-61.7485,80.28,89,40,2.3
139,Daru,PG,2022-07-27 22:39:07,-9.0763,143.2092,76.57,89,98,17.65
140,Haines Junction,CA,2022-07-27 22:34:31,60.7522,-137.5108,58.95,55,100,4.61
141,Port Elizabeth,ZA,2022-07-27 22:39:08,-33.918,25.5701,53.89,87,20,1.14
142,Camopi,GF,2022-07-27 22:39:08,3.1655,-52.3158,71.98,99,91,2.06
143,Carnarvon,AU,2022-07-27 22:37:02,-24.8667,113.6333,69.06,53,100,0.76
144,Ubata,BR,2022-07-27 22:39:09,-14.2139,-39.5228,68.9,82,69,3.96
145,Santa Maria,BR,2022-07-27 22:39:09,-29.6842,-53.8069,67.3,100,0,4.61
146,Kruisfontein,ZA,2022-07-27 22:39:10,-34.0033,24.7314,55.11,85,67,3.85
147,Okhotsk,RU,2022-07-27 22:38:26,59.3833,143.3,60.6,85,100,1.1
148,Port Augusta,AU,2022-07-27 22:34:26,-32.5,137.7667,51.24,44,5,2.93
149,Kavieng,PG,2022-07-27 22:31:14,-2.5744,150.7967,84.34,71,42,17.65
150,Port Lincoln,AU,2022-07-27 22:36:02,-34.7333,135.8667,50.65,82,58,8.72
151,Dundalk,US,2022-07-27 22:35:34,39.2507,-76.5205,88.25,73,75,6.91
152,Igrim,RU,2022-07-27 22:39:11,63.1906,64.4162,53.01,77,0,3.22
153,Esmeralda,CU,2022-07-27 22:39:12,21.8525,-78.1169,81.9,77,39,11.25
154,Kinablangan,PH,2022-07-27 22:39:12,7.6947,126.5503,79.84,82,92,3.09
155,Barzas,RU,2022-07-27 22:39:13,55.7167,86.3167,60.91,77,98,1.79
156,Egvekinot,RU,2022-07-27 22:39:13,66.3167,-179.1667,38.64,81,100,6.49
157,San Fernando,PH,2022-07-27 22:39:14,15.0286,120.6898,80.33,86,99,0.85
158,Chifeng,CN,2022-07-27 22:39:14,42.2683,118.9636,65.73,92,100,2.82
159,Marienburg,PL,2022-07-27 22:39:15,54.0359,19.0266,61.12,85,13,8.21
160,Buala,SB,2022-07-27 22:39:15,-8.145,159.5921,83.75,69,62,8.9
161,Goderich,CA,2022-07-27 22:39:16,43.7501,-81.7165,75.9,73,34,11.5
162,Marechal Floriano,BR,2022-07-27 22:39:16,-20.4128,-40.6831,65.05,92,0,2.62
163,Vila,PT,2022-07-27 22:39:17,42.0304,-8.1588,58.69,70,38,0.85
164,Rio Grande,BR,2022-07-27 22:39:02,-32.035,-52.0986,60.91,92,86,8.59
165,Sarh,TD,2022-07-27 22:39:17,9.1429,18.3923,72.28,92,100,3.06
166,Lompoc,US,2022-07-27 22:39:18,34.6391,-120.4579,85.78,73,0,14.0
167,Pimentel,PE,2022-07-27 22:39:18,-6.8367,-79.9342,66.49,72,40,23.02
168,Tazovskiy,RU,2022-07-27 22:39:19,67.4667,78.7,47.05,82,81,8.39
169,Port Shepstone,ZA,2022-07-27 22:39:19,-30.7414,30.455,63.93,82,94,7.72
170,Saldanha,ZA,2022-07-27 22:39:20,-33.0117,17.9442,46.45,72,0,5.88
171,Cherat,PK,2022-07-27 22:39:20,33.8233,71.8915,69.73,75,96,4.09
172,General Pico,AR,2022-07-27 22:39:21,-35.6566,-63.7568,49.51,85,99,15.12
173,Puerto Ayora,EC,2022-07-27 22:28:58,-0.7393,-90.3518,78.76,90,82,5.99
174,Upernavik,GL,2022-07-27 22:29:11,72.7868,-56.1549,40.17,85,100,2.86
175,Batagay,RU,2022-07-27 22:39:22,67.6333,134.6333,75.45,47,19,1.1
176,Vestmannaeyjar,IS,2022-07-27 22:39:22,63.4427,-20.2734,52.65,87,95,14.09
177,Sergeyevka,KZ,2022-07-27 22:39:23,53.88,67.4158,59.99,90,92,14.23
178,Waingapu,ID,2022-07-27 22:36:07,-9.6567,120.2641,76.96,78,20,17.2
179,Camacupa,AO,2022-07-27 22:39:23,-12.0167,17.4833,56.71,30,100,3.78
180,Lorengau,PG,2022-07-27 22:39:24,-2.0226,147.2712,84.63,70,29,10.92
181,Russell,US,2022-07-27 22:39:24,32.3502,-85.1999,92.8,49,0,0.0
182,Ambon,ID,2022-07-27 22:39:25,-3.6954,128.1814,80.74,83,40,9.22
183,Omboue,GA,2022-07-27 22:39:25,-1.5746,9.2618,71.64,88,66,6.06
184,Tual,ID,2022-07-27 22:37:46,-5.6667,132.75,79.0,85,49,22.7
185,Marrakesh,MA,2022-07-27 22:37:51,31.6315,-8.0083,82.47,42,0,6.91
186,Clyde River,CA,2022-07-27 22:39:26,70.4692,-68.5914,39.43,100,100,6.91
187,Annau,TM,2022-07-27 22:40:26,37.8876,58.516,83.7,37,40,9.22
188,Ilulissat,GL,2022-07-27 22:38:47,69.2167,-51.1,44.62,87,75,6.91
189,Cabo San Lucas,MX,2022-07-27 22:39:25,22.8909,-109.9124,93.61,55,20,5.75
190,Tshikapa,CD,2022-07-27 22:40:27,-6.4167,20.8,72.88,39,68,2.48
191,Thompson,CA,2022-07-27 22:38:51,55.7435,-97.8558,60.96,72,100,10.36
192,Macia,MZ,2022-07-27 22:40:28,-25.0269,33.0989,58.24,88,0,3.49
193,Xiongzhou,CN,2022-07-27 22:40:28,25.1167,114.3,81.93,76,64,2.86
194,Kjollefjord,NO,2022-07-27 22:40:29,70.9457,27.3465,50.05,100,100,14.97
195,Tiznit,MA,2022-07-27 22:40:29,29.5833,-9.5,76.86,46,0,6.04
196,Oktyabrskiy,RU,2022-07-27 22:40:30,54.4815,53.471,63.75,92,50,4.76
197,Huarmey,PE,2022-07-27 22:40:30,-10.0681,-78.1522,64.08,80,15,12.28
198,Kasongo-Lunda,CD,2022-07-27 22:40:30,-6.4667,16.8167,70.25,30,57,2.89
199,Pacific Grove,US,2022-07-27 22:40:31,36.6177,-121.9166,77.23,75,0,10.36
200,Boysun,UZ,2022-07-27 22:40:31,38.2061,67.1986,80.69,25,12,2.28
201,Nador,MA,2022-07-27 22:40:32,35.174,-2.9287,80.85,34,0,1.14
202,Eureka,US,2022-07-27 22:40:32,40.8021,-124.1637,73.2,73,52,7.0
203,Fare,PF,2022-07-27 22:40:05,-16.7,-151.0167,78.57,73,10,26.89
204,Saint-Augustin,CA,2022-07-27 22:40:33,51.226,-58.6502,61.68,87,92,3.24
