City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Atambua,ID,-9.1061,124.8925,70.52,89,35,4.76,scattered clouds
81,Nerchinskiy Zavod,RU,51.3088,119.61,59.94,97,100,4.21,overcast clouds
82,Chokurdakh,RU,70.6333,147.9167,53.11,74,0,3.0,clear sky
83,Oistins,BB,13.0667,-59.5333,86.09,79,40,18.41,scattered clouds
84,Nuuk,GL,64.1835,-51.7216,54.21,66,40,16.11,scattered clouds
85,Geraldton,AU,-28.7667,114.6,52.21,87,100,8.05,overcast clouds
86,Ahipara,NZ,-35.1667,173.1667,52.66,79,22,15.52,few clouds
87,Oga,IT,46.4631,10.347,58.96,69,20,7.11,few clouds
88,Tabou,CI,4.423,-7.3528,75.52,77,24,9.08,few clouds
89,Saskylakh,RU,71.9167,114.0833,60.8,95,100,6.76,moderate rain
90,Gusau,NG,12.1628,6.6614,70.66,94,100,15.5,very heavy rain
91,Nueva Imperial,CL,-38.7333,-72.95,47.05,72,100,2.44,overcast clouds
92,Serov,RU,59.6033,60.5787,63.14,71,100,4.88,overcast clouds
93,Caluquembe,AO,-13.7833,14.6833,60.67,52,1,6.64,clear sky
94,Vardo,NO,70.3705,31.1107,49.98,100,100,16.11,drizzle
95,Klaksvik,FO,62.2266,-6.589,49.12,88,100,7.02,overcast clouds
96,Faanui,PF,-16.4833,-151.75,79.27,68,5,23.64,clear sky
97,Provideniya,RU,64.3833,-173.3,50.43,73,100,1.48,overcast clouds
98,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,40,23.02,light rain
99,Tigil,RU,57.8,158.6667,50.7,82,100,3.96,overcast clouds
100,Adrar,MR,20.5022,-10.0711,94.98,31,53,10.04,broken clouds
101,Severnoye,RU,56.3491,78.3619,63.86,80,100,4.99,overcast clouds
102,Hofn,IS,64.2539,-15.2082,50.83,61,100,7.92,overcast clouds
103,Borogontsy,RU,62.6683,131.1683,63.79,88,59,3.4,light rain
104,Mangaluru,IN,12.8667,74.8833,79.66,94,75,4.61,moderate rain
105,Chimore,BO,-16.9833,-65.1333,83.48,36,4,4.79,clear sky
106,Skibbereen,IE,51.55,-9.2667,63.1,97,100,16.44,overcast clouds
107,Houma,US,29.5958,-90.7195,84.2,61,40,10.36,scattered clouds
108,Nanortalik,GL,60.1432,-45.2371,46.11,87,32,10.09,scattered clouds
109,Sydney,AU,-33.8679,151.2073,47.71,84,0,8.05,clear sky
110,La Ronge,CA,55.1001,-105.2842,62.85,63,100,8.05,overcast clouds
111,Chuy,UY,-33.6971,-53.4616,59.4,60,0,0.51,clear sky
112,Atuona,PF,-9.8,-139.0333,76.86,76,8,16.51,clear sky
113,Palm Coast,US,29.585,-81.2078,97.12,61,0,8.05,clear sky
114,George Town,MY,5.4112,100.3354,82.33,93,20,4.61,few clouds
115,Longyearbyen,SJ,78.2186,15.6401,51.64,76,75,10.36,broken clouds
116,Nouadhibou,MR,20.931,-17.0347,71.58,83,15,19.57,few clouds
117,Ribeira Grande,PT,38.5167,-28.7,77.4,69,75,8.05,broken clouds
118,Airai,TL,-8.9266,125.4092,57.88,93,60,3.62,broken clouds
119,Khani,GE,41.9563,42.9566,65.77,95,27,2.26,scattered clouds
120,Grindavik,IS,63.8424,-22.4338,51.75,81,40,14.97,scattered clouds
121,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,70,75,9.22,broken clouds
